Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
CN,松原市,江南,45.1214:124.8006,PM10,ChinaAQIData,µg/m³,37.0,2021-08-09T13:00:00+02:00,China
CN,梧州市,龙新,23.4835:111.2711,CO,ChinaAQIData,µg/m³,900.0,2021-08-09T13:00:00+02:00,China
CN,沧州市,沧县城建局,38.2991:116.8842,PM10,ChinaAQIData,µg/m³,35.0,2021-08-09T13:00:00+02:00,China
CN,朝阳市,河畔小区,41.5646:120.4521,PM10,ChinaAQIData,µg/m³,34.0,2021-08-09T13:00:00+02:00,China
CN,濮阳市,油田物探公司,35.7754:115.0866,O3,ChinaAQIData,µg/m³,184.0,2021-08-09T13:00:00+02:00,China
CN,濮阳市,油田运输公司,35.7609:115.0574,PM2.5,ChinaAQIData,µg/m³,43.0,2021-08-09T13:00:00+02:00,China
CN,晋城市,泽州一中,35.4828:112.8271,PM2.5,ChinaAQIData,µg/m³,27.0,2021-08-09T13:00:00+02:00,China
CN,泉州市,津头埔,24.8978:118.5972,O3,ChinaAQIData,µg/m³,162.0,2021-08-09T13:00:00+02:00,China
CN,上海市,浦东川沙,31.1907:121.703,NO2,ChinaAQIData,µg/m³,14.0,2021-08-09T13:00:00+02:00,China
CN,句容市,消防指挥中心,31.955:119.146,O3,ChinaAQIData,µg/m³,170.0,2021-08-09T13:00:00+02:00,China
CN,淮安市,淮阴区监测站,33.6297:119.0186,CO,ChinaAQIData,µg/m³,500.0,2021-08-09T13:00:00+02:00,China
CN,鞍山市,深沟寺,41.1196:123.044,PM2.5,ChinaAQIData,µg/m³,19.0,2021-08-09T13:00:00+02:00,China
CN,日照市,港务局,35.4044:119.5587,SO2,ChinaAQIData,µg/m³,3.0,2021-08-09T13:00:00+02:00,China
CN,长沙市,湖南师范大学,28.19:112.9394,SO2,ChinaAQIData,µg/m³,5.0,2021-08-09T13:00:00+02:00,China
